c 21002          JAPAN             3792555   8.6 1
c 22001          JAPAN             2812337   8.6 1
  62029   UK                       487 124   4.0 1
c 62052   UK                       485  56   4.0 1
  62081   UK                       510 133   4.0 1
c 62105   UK                       549 126   4.0 1
c 62106   UK                       570  99   4.0 1
  62108   UK                       535 195   4.0 1
c 62109   UK                       5703600   4.0 2
c 62114   UK                       5833599   4.0 1
c 62133   UK                       5713590   4.0 2
c 62162   UK                       5743595   4.0 2
c 63103   UK                       6123589   4.0 1
  64045   UK                       591 114   4.0 1
9999999
c 99999999  OFFSHR = 1  INSHR = 2  LAND = 0  999 9 for last column.
c buoyID   Buoy    Name            Lat Lon Anometer  sea notes at 1=nea
c          Type                  (0.1deg)  hgt (m)   bottom for the last column
c                                North+  (lon + for W)
c                                South-
